"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task_condition","age","gender","task_version","interactions","blur_events","focus_events","fullscreenenter_events","fullscreenexit_events","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","button_pressed","task_part","approach_reward","points","key_press","option_selected","stim_cat","task_block","block_condition","block_number","correct","cat_type","mean_cat_reward"
"pavlovia","0","19","0.0-0.0","7805","2","11","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""35476""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""35476""
","
","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","36443","0.0-1.0","7805","2","11","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""35476""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""35476""
","
","true","","","","","","","","","","","","","","","","","","","",""
"preload","2","48306","0.0-2.0","7805","2","11","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""35476""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""35476""
","
","true","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"audio-keyboard-response","3","55465","0.0-3.0","7805","2","11","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""35476""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""35476""
","
","","","","","","7157.333333333334","audio/beep_loop.wav"," ","","","","","","","","","","","","",""
"audio-button-response","4","58931","0.0-4.0","7805","2","11","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""35476""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""35476""
","
","","","","","","3456","audio/shark.wav","4","","","","","","","","","","","","",""
"audio-button-response","5","61540","0.0-5.0","7805","2","11","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""35476""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""35476""
","
","","","","","","1600","audio/turtle.wav","1","","","","","","","","","","","","",""
"preload","6","66532","0.0-6.0","7805","2","11","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""35476""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""35476""
","
","true","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","69913","0.0-7.0","7805","2","11","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""35476""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""35476""
","
","","","","","","3371.900000002235","Welcome to the experiment. Press any key to begin and to advance the instructions."," ","","","","","","","","","","","","",""
"learning-instructions","8","78271","0.0-8.0-0.0-0.0","7805","2","11","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""35476""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""35476""
","
","","","","","","1399.199999999255","<p> Welcome! Today you are going to play 6 different rounds of a decision-making game. </p><p> Use the mouse to click next to continue. </p>","","0","instructions","","","","","","","","","","",""
"learning-instructions","9","81626","0.0-8.0-0.0-0.1","7805","2","11","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""35476""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""35476""
","
","","","","","","626.0999999977648","<p> You will start with a practice round to learn the rules. </p>","","0","instructions","","","","","","","","","","",""
"learning-instructions","10","85691","0.0-8.0-0.0-0.2","7805","2","11","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""35476""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""35476""
","
","","","","","","604.0999999977648","<p> Your goal in this round is to give out sports equipment to kids. </p></div>","","0","instructions","","","","","","","","","","",""
"learning-instructions","11","94218","0.0-8.0-0.0-0.3","7805","2","11","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""35476""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""35476""
","
","","","","","","973.8999999985099","<p> The kids only like some of the equipment.  </p><p> On each turn, you will see a piece of sports equipment.   </p><p> You need to decide whether to give it to the kids or not.  </p>","","0","instructions","","","","","","","","","","",""
"learning-instructions","12","101065","0.0-8.0-0.0-0.4","7805","2","11","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""35476""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""35476""
","
","","","","","","2092","<p> You can give them the equipment by pressing 1 and choose not to give it to them by pressing 0. </p><br><div class=""choice-instructions-grid""> <div class=""choice-option""><img src=""images/approach.png"" class=""choice-option-img"" stage=""instructions"" position=""0"" ><div class=""choice-option-text""> Press ""1."" </div></div><div class=""choice-option""><img src=""images/avoid.png"" class=""choice-option-img"" stage=""instructions"" position=""1"" ><div class=""choice-option-text""> Press ""0."" </div></div>","","0","instructions","","","","","","","","","","",""
"learning-instructions","13","109339","0.0-8.0-0.0-0.5","7805","2","11","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""35476""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""35476""
","
","","","","","","883.9000000022352","<p> If you give them a piece of equipment they like, they will be happy! </p><p> But if you give them a piece of equipment they do not like, they will be sad. </p>","","0","instructions","","","","","","","","","","",""
"learning-instructions","14","120338","0.0-8.0-0.0-0.6","7805","2","11","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""35476""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""35476""
","
","","","","","","480.0999999977648","<p> You will earn points based on how you make kids feel. </p><p> If you make them happy, you will WIN anywhere from 1 - 9 points, </p><p> but if you make them sad, you will LOSE anywhere from 1 - 9 points. </p>","","0","instructions","","","","","","","","","","",""
"learning-instructions","15","130434","0.0-8.0-0.0-0.7","7805","2","11","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""35476""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""35476""
","
","","","","","","549.5","<p> You will see how many points you won or lost in the center of the screen. </p><p> Here is what you would see if you won 6 points: </p><p style=""color:green;font-size:50px;font-weight:bolder"">6</p><p style=""color:green"">The text is GREEN because you WON points.</p>","","0","instructions","","","","","","","","","","",""
"learning-instructions","16","136457","0.0-8.0-0.0-0.8","7805","2","11","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""35476""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""35476""
","
","","","","","","513.6999999992549","<p> And here is what you would see if you lost 4 points: </p><p style=""color:red;font-size:50px;font-weight:bolder"">-4</p><p style=""color:red"">The text is RED because you LOST points. </p>","","0","instructions","","","","","","","","","","",""
"learning-instructions","17","151908","0.0-8.0-0.0-0.9","7805","2","11","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""35476""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""35476""
","
","","","","","","732.3999999985099","<p> Some of the equipment will make the kids VERY happy or sad. </p><p> These pieces of equipment will make you win or lose LOTS of points. </p><p> Other pieces of equipment will only make the kids a little happy or sad. </p><p> These pieces of equipment will make you win or lose small amounts of points. </p>","","0","instructions","","","","","","","","","","",""
"learning-instructions","18","163030","0.0-8.0-0.0-0.10","7805","2","11","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""35476""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""35476""
","
","","","","","","494.5","<p> If you choose not to give them the equipment, you will not win or lose any points. </p><p>  However, in the center of the screen, you will see the number of points you WOULD HAVE won or lost if you had given them the equipment. </p>","","0","instructions","","","","","","","","","","",""
"learning-instructions","19","185739","0.0-8.0-0.0-0.11","7805","2","11","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""35476""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""35476""
","
","","","","","","1177","<p> Here is what you might see if you did not give the equipment to the kids but it would have made them happy: </p><p style=""color:grey; font-size:50px; display: inline-block; border-spacing: 15px; border-width:3px; border-style:solid; border-color:red"">  &nbsp; 7 &nbsp; </p><p> Remember, in this case, you would not win or lose ANY points because you did not give them the equipment.  </p><p style=""color:grey"">The text is GREY because you earned ZERO points. </p><p style=""color:red"">However, choosing to give the kids the equipment would have made you win points. The box around the text is RED because you chose the worse option. </p>","","0","instructions","","","","","","","","","","",""
