"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task_condition","age","gender","task_version","interactions","blur_events","focus_events","fullscreenenter_events","fullscreenexit_events","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","button_pressed","task_part","approach_reward","points","key_press","option_selected","stim_cat","task_block","block_condition","block_number","correct","cat_type","mean_cat_reward"
"pavlovia","0","10","0.0-0.0","7252","2","11","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4307""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4307""
","
","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","5293","0.0-1.0","7252","2","11","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4307""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4307""
","
","true","","","","","","","","","","","","","","","","","","","",""
"preload","2","33155","0.0-2.0","7252","2","11","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4307""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4307""
","
","true","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"audio-keyboard-response","3","37874","0.0-3.0","7252","2","11","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4307""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4307""
","
","","","","","","4725.260770975055","audio/beep_loop.wav"," ","","","","","","","","","","","","",""
"audio-button-response","4","42709","0.0-4.0","7252","2","11","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4307""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4307""
","
","","","","","","4836","audio/shark.wav","4","","","","","","","","","","","","",""
"audio-button-response","5","45760","0.0-5.0","7252","2","11","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4307""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4307""
","
","","","","","","2032","audio/turtle.wav","1","","","","","","","","","","","","",""
"preload","6","55641","0.0-6.0","7252","2","11","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4307""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4307""
","
","true","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","59341","0.0-7.0","7252","2","11","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4307""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4307""
","
","","","","","","3697.5999999046326","Welcome to the experiment. Press any key to begin and to advance the instructions."," ","","","","","","","","","","","","",""
"learning-instructions","8","68888","0.0-8.0-0.0-0.0","7252","2","11","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4307""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4307""
","
","","","","","","2590.300000190735","<p> Welcome! Today you are going to play 6 different rounds of a decision-making game. </p><p> Use the mouse to click next to continue. </p>","","0","instructions","","","","","","","","","","",""
"learning-instructions","9","79498","0.0-8.0-0.0-0.1","7252","2","11","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4307""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4307""
","
","","","","","","7867.300000190735","<p> You will start with a practice round to learn the rules. </p>","","0","instructions","","","","","","","","","","",""
"learning-instructions","10","83650","0.0-8.0-0.0-0.2","7252","2","11","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4307""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4307""
","
","","","","","","691.5","<p> Your goal in this round is to give out sports equipment to kids. </p></div>","","0","instructions","","","","","","","","","","",""
"learning-instructions","11","91740","0.0-8.0-0.0-0.3","7252","2","11","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4307""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4307""
","
","","","","","","533.8000001907349","<p> The kids only like some of the equipment.  </p><p> On each turn, you will see a piece of sports equipment.   </p><p> You need to decide whether to give it to the kids or not.  </p>","","0","instructions","","","","","","","","","","",""
"learning-instructions","12","101946","0.0-8.0-0.0-0.4","7252","2","11","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4307""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4307""
","
","","","","","","5457","<p> You can give them the equipment by pressing 1 and choose not to give it to them by pressing 0. </p><br><div class=""choice-instructions-grid""> <div class=""choice-option""><img src=""images/approach.png"" class=""choice-option-img"" stage=""instructions"" position=""0"" ><div class=""choice-option-text""> Press ""1."" </div></div><div class=""choice-option""><img src=""images/avoid.png"" class=""choice-option-img"" stage=""instructions"" position=""1"" ><div class=""choice-option-text""> Press ""0."" </div></div>","","0","instructions","","","","","","","","","","",""
"learning-instructions","13","110266","0.0-8.0-0.0-0.5","7252","2","11","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4307""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4307""
","
","","","","","","916.0999999046326","<p> If you give them a piece of equipment they like, they will be happy! </p><p> But if you give them a piece of equipment they do not like, they will be sad. </p>","","0","instructions","","","","","","","","","","",""
"learning-instructions","14","121842","0.0-8.0-0.0-0.6","7252","2","11","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4307""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4307""
","
","","","","","","1063.1999998092651","<p> You will earn points based on how you make kids feel. </p><p> If you make them happy, you will WIN anywhere from 1 - 9 points, </p><p> but if you make them sad, you will LOSE anywhere from 1 - 9 points. </p>","","0","instructions","","","","","","","","","","",""
"learning-instructions","15","132257","0.0-8.0-0.0-0.7","7252","2","11","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4307""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4307""
","
","","","","","","830.3999996185303","<p> You will see how many points you won or lost in the center of the screen. </p><p> Here is what you would see if you won 6 points: </p><p style=""color:green;font-size:50px;font-weight:bolder"">6</p><p style=""color:green"">The text is GREEN because you WON points.</p>","","0","instructions","","","","","","","","","","",""
"learning-instructions","16","138587","0.0-8.0-0.0-0.8","7252","2","11","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4307""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4307""
","
","","","","","","822.1999998092651","<p> And here is what you would see if you lost 4 points: </p><p style=""color:red;font-size:50px;font-weight:bolder"">-4</p><p style=""color:red"">The text is RED because you LOST points. </p>","","0","instructions","","","","","","","","","","",""
"learning-instructions","17","155923","0.0-8.0-0.0-0.9","7252","2","11","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4307""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4307""
","
","","","","","","2615.5","<p> Some of the equipment will make the kids VERY happy or sad. </p><p> These pieces of equipment will make you win or lose LOTS of points. </p><p> Other pieces of equipment will only make the kids a little happy or sad. </p><p> These pieces of equipment will make you win or lose small amounts of points. </p>","","0","instructions","","","","","","","","","","",""
"learning-instructions","18","168186","0.0-8.0-0.0-0.10","7252","2","11","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4307""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4307""
","
","","","","","","1631.8999996185303","<p> If you choose not to give them the equipment, you will not win or lose any points. </p><p>  However, in the center of the screen, you will see the number of points you WOULD HAVE won or lost if you had given them the equipment. </p>","","0","instructions","","","","","","","","","","",""
"learning-instructions","19","192514","0.0-8.0-0.0-0.11","7252","2","11","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4307""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4307""
","
","","","","","","2787.800000190735","<p> Here is what you might see if you did not give the equipment to the kids but it would have made them happy: </p><p style=""color:grey; font-size:50px; display: inline-block; border-spacing: 15px; border-width:3px; border-style:solid; border-color:red"">  &nbsp; 7 &nbsp; </p><p> Remember, in this case, you would not win or lose ANY points because you did not give them the equipment.  </p><p style=""color:grey"">The text is GREY because you earned ZERO points. </p><p style=""color:red"">However, choosing to give the kids the equipment would have made you win points. The box around the text is RED because you chose the worse option. </p>","","0","instructions","","","","","","","","","","",""
