"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task_condition","age","gender","task_version","interactions","blur_events","focus_events","fullscreenenter_events","fullscreenexit_events","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","button_pressed","task_part","approach_reward","points","key_press","option_selected","stim_cat","task_block","block_condition","block_number","correct","cat_type","mean_cat_reward"
"pavlovia","0","3","0.0-0.0","5433","2","24","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1489""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1489""
","
","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","2474","0.0-1.0","5433","2","24","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1489""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1489""
","
","true","","","","","","","","","","","","","","","","","","","",""
"preload","2","28272","0.0-2.0","5433","2","24","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1489""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1489""
","
","true","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"audio-keyboard-response","3","30049","0.0-3.0","5433","2","24","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1489""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1489""
","
","","","","","","1781.3333333333326","audio/beep_loop.wav"," ","","","","","","","","","","","","",""
"audio-button-response","4","31511","0.0-4.0","5433","2","24","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1489""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1489""
","
","","","","","","1459","audio/shark.wav","4","","","","","","","","","","","","",""
"audio-button-response","5","33665","0.0-5.0","5433","2","24","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1489""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1489""
","
","","","","","","1152","audio/turtle.wav","1","","","","","","","","","","","","",""
"preload","6","44685","0.0-6.0","5433","2","24","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1489""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1489""
","
","true","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","46048","0.0-7.0","5433","2","24","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1489""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1489""
","
","","","","","","1361.4000000953674","Welcome to the experiment. Press any key to begin and to advance the instructions."," ","","","","","","","","","","","","",""
"learning-instructions","8","53905","0.0-8.0-0.0-0.0","5433","2","24","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1489""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1489""
","
","","","","","","905.2999999523163","<p> Welcome! Today you are going to play 6 different rounds of a decision-making game. </p><p> Use the mouse to click next to continue. </p>","","0","instructions","","","","","","","","","","",""
"learning-instructions","9","57183","0.0-8.0-0.0-0.1","5433","2","24","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1489""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1489""
","
","","","","","","542.1999998092651","<p> You will start with a practice round to learn the rules. </p>","","0","instructions","","","","","","","","","","",""
"learning-instructions","10","60987","0.0-8.0-0.0-0.2","5433","2","24","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1489""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1489""
","
","","","","","","356.7000000476837","<p> Your goal in this round is to give out sports equipment to kids. </p></div>","","0","instructions","","","","","","","","","","",""
"learning-instructions","11","68936","0.0-8.0-0.0-0.3","5433","2","24","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1489""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1489""
","
","","","","","","396.09999990463257","<p> The kids only like some of the equipment.  </p><p> On each turn, you will see a piece of sports equipment.   </p><p> You need to decide whether to give it to the kids or not.  </p>","","0","instructions","","","","","","","","","","",""
"learning-instructions","12","75135","0.0-8.0-0.0-0.4","5433","2","24","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1489""
""blur"",""13"",""83172""
""focus"",""13"",""84935""
","""event"",""trial"",""time""
""blur"",""13"",""83172""
","""event"",""trial"",""time""
""focus"",""13"",""84935""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1489""
","
","","","","","","1444.5","<p> You can give them the equipment by pressing 1 and choose not to give it to them by pressing 0. </p><br><div class=""choice-instructions-grid""> <div class=""choice-option""><img src=""images/approach.png"" class=""choice-option-img"" stage=""instructions"" position=""0"" ><div class=""choice-option-text""> Press ""1."" </div></div><div class=""choice-option""><img src=""images/avoid.png"" class=""choice-option-img"" stage=""instructions"" position=""1"" ><div class=""choice-option-text""> Press ""0."" </div></div>","","0","instructions","","","","","","","","","","",""
"learning-instructions","13","85730","0.0-8.0-0.0-0.5","5433","2","24","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1489""
""blur"",""13"",""83172""
""focus"",""13"",""84935""
","""event"",""trial"",""time""
""blur"",""13"",""83172""
","""event"",""trial"",""time""
""focus"",""13"",""84935""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1489""
","
","","","","","","3200.399999856949","<p> If you give them a piece of equipment they like, they will be happy! </p><p> But if you give them a piece of equipment they do not like, they will be sad. </p>","","0","instructions","","","","","","","","","","",""
"learning-instructions","14","97492","0.0-8.0-0.0-0.6","5433","2","24","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1489""
""blur"",""13"",""83172""
""focus"",""13"",""84935""
","""event"",""trial"",""time""
""blur"",""13"",""83172""
","""event"",""trial"",""time""
""focus"",""13"",""84935""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1489""
","
","","","","","","1241.7999999523163","<p> You will earn points based on how you make kids feel. </p><p> If you make them happy, you will WIN anywhere from 1 - 9 points, </p><p> but if you make them sad, you will LOSE anywhere from 1 - 9 points. </p>","","0","instructions","","","","","","","","","","",""
"learning-instructions","15","107952","0.0-8.0-0.0-0.7","5433","2","24","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1489""
""blur"",""13"",""83172""
""focus"",""13"",""84935""
","""event"",""trial"",""time""
""blur"",""13"",""83172""
","""event"",""trial"",""time""
""focus"",""13"",""84935""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1489""
","
","","","","","","912.7000000476837","<p> You will see how many points you won or lost in the center of the screen. </p><p> Here is what you would see if you won 6 points: </p><p style=""color:green;font-size:50px;font-weight:bolder"">6</p><p style=""color:green"">The text is GREEN because you WON points.</p>","","0","instructions","","","","","","","","","","",""
"learning-instructions","16","114208","0.0-8.0-0.0-0.8","5433","2","24","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1489""
""blur"",""13"",""83172""
""focus"",""13"",""84935""
","""event"",""trial"",""time""
""blur"",""13"",""83172""
","""event"",""trial"",""time""
""focus"",""13"",""84935""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1489""
","
","","","","","","757.9000000953674","<p> And here is what you would see if you lost 4 points: </p><p style=""color:red;font-size:50px;font-weight:bolder"">-4</p><p style=""color:red"">The text is RED because you LOST points. </p>","","0","instructions","","","","","","","","","","",""
"learning-instructions","17","129487","0.0-8.0-0.0-0.9","5433","2","24","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1489""
""blur"",""13"",""83172""
""focus"",""13"",""84935""
","""event"",""trial"",""time""
""blur"",""13"",""83172""
","""event"",""trial"",""time""
""focus"",""13"",""84935""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1489""
","
","","","","","","564","<p> Some of the equipment will make the kids VERY happy or sad. </p><p> These pieces of equipment will make you win or lose LOTS of points. </p><p> Other pieces of equipment will only make the kids a little happy or sad. </p><p> These pieces of equipment will make you win or lose small amounts of points. </p>","","0","instructions","","","","","","","","","","",""
"learning-instructions","18","141178","0.0-8.0-0.0-0.10","5433","2","24","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1489""
""blur"",""13"",""83172""
""focus"",""13"",""84935""
","""event"",""trial"",""time""
""blur"",""13"",""83172""
","""event"",""trial"",""time""
""focus"",""13"",""84935""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1489""
","
","","","","","","1067.9000000953674","<p> If you choose not to give them the equipment, you will not win or lose any points. </p><p>  However, in the center of the screen, you will see the number of points you WOULD HAVE won or lost if you had given them the equipment. </p>","","0","instructions","","","","","","","","","","",""
"learning-instructions","19","163237","0.0-8.0-0.0-0.11","5433","2","24","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1489""
""blur"",""13"",""83172""
""focus"",""13"",""84935""
","""event"",""trial"",""time""
""blur"",""13"",""83172""
","""event"",""trial"",""time""
""focus"",""13"",""84935""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1489""
","
","","","","","","516.2000000476837","<p> Here is what you might see if you did not give the equipment to the kids but it would have made them happy: </p><p style=""color:grey; font-size:50px; display: inline-block; border-spacing: 15px; border-width:3px; border-style:solid; border-color:red"">  &nbsp; 7 &nbsp; </p><p> Remember, in this case, you would not win or lose ANY points because you did not give them the equipment.  </p><p style=""color:grey"">The text is GREY because you earned ZERO points. </p><p style=""color:red"">However, choosing to give the kids the equipment would have made you win points. The box around the text is RED because you chose the worse option. </p>","","0","instructions","","","","","","","","","","",""
"learning-instructions","20","185293","0.0-8.0-0.0-0.12","5433","2","24","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1489""
""blur"",""13"",""83172""
""focus"",""13"",""84935""
","""event"",""trial"",""time""
""blur"",""13"",""83172""
","""event"",""trial"",""time""
""focus"",""13"",""84935""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1489""
","
","","","","","","981.8999998569489","<p> Here is what you might see if you did not give the equipment to the kids but it would have made them sad: </p><p style=""color:grey;font-size:50px; display: inline-block; border-spacing: 15px; border-width:3px; border-style:solid; border-color:green"">  &nbsp; -8 &nbsp; </p><p> Remember, in this case, you would not win or lose ANY points because you did not give them the equipment.  </p><p style=""color:grey"">The text is GREY because you earned ZERO points. </p><p  style=""color:green""> Choosing to give the kids the equipment would have made you lose points. The box around the text is GREEN because you chose the better option.</p>","","0","instructions","","","","","","","","","","",""
"learning-instructions","21","195410","0.0-8.0-0.0-0.13","5433","2","24","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1489""
""blur"",""13"",""83172""
""focus"",""13"",""84935""
","""event"",""trial"",""time""
""blur"",""13"",""83172""
","""event"",""trial"",""time""
""focus"",""13"",""84935""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1489""
","
","","","","","","1050.0999999046326","<p> You will have 3 seconds to make each choice. Try to respond before time runs out! </p><p> You will lose 5 points each time you do not make a response. </p>","","0","instructions","","","","","","","","","","",""
"learning-instructions","22","201347","0.0-8.0-0.0-0.14","5433","2","24","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1489""
""blur"",""13"",""83172""
""focus"",""13"",""84935""
","""event"",""trial"",""time""
""blur"",""13"",""83172""
","""event"",""trial"",""time""
""focus"",""13"",""84935""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1489""
","
","","","","","","527.2000000476837","<p> This is just a practice round, but in the real game, your bonus payment will depend on your total number of points.","","0","instructions","","","","","","","","","","",""
"learning-instructions","23","208186","0.0-8.0-0.0-0.15","5433","2","24","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1489""
""blur"",""13"",""83172""
""focus"",""13"",""84935""
","""event"",""trial"",""time""
""blur"",""13"",""83172""
","""event"",""trial"",""time""
""focus"",""13"",""84935""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1489""
","
","","","","","","1073.7999999523163","<p> Remember, you can give them the equipment by pressing 1 and choose not to give it to them by pressing 0. </p><br><div class=""choice-instructions-grid""> <div class=""choice-option""><img src=""images/approach.png"" class=""choice-option-img"" stage=""instructions"" position=""0"" ><div class=""choice-option-text""> Press ""1."" </div></div><div class=""choice-option""><img src=""images/avoid.png"" class=""choice-option-img"" stage=""instructions"" position=""1"" ><div class=""choice-option-text""> Press ""0."" </div></div>","","0","instructions","","","","","","","","","","",""
"html-button-response","24","209311","0.0-8.0-1.0","5433","2","24","Female","approach_avoid_spark_v1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1489""
""blur"",""13"",""83172""
""focus"",""13"",""84935""
","""event"",""trial"",""time""
""blur"",""13"",""83172""
","""event"",""trial"",""time""
""focus"",""13"",""84935""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1489""
","
","","","","","","1008.4000000953674","<p> Ready to practice? </p>","0","","","","","","","","","","","","",""
